collection,date,remark
CLOUD_SCORE_PLUS,2025-03-25,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-03-30,No candidate scene
CLOUD_SCORE_PLUS,2025-04-09,No candidate scene
CLOUD_SCORE_PLUS,2025-04-19,No candidate scene
CLOUD_SCORE_PLUS,2025-04-29,No candidate scene
CLOUD_SCORE_PLUS,2025-05-09,No candidate scene
CLOUD_SCORE_PLUS,2025-05-19,No candidate scene
CLOUD_SCORE_PLUS,2025-05-29,No candidate scene
CLOUD_SCORE_PLUS,2025-06-18,No candidate scene
CLOUD_SCORE_PLUS,2025-06-20,No candidate scene
CLOUD_SCORE_PLUS,2025-06-24,No candidate scene
CLOUD_SCORE_PLUS,2025-06-28,No candidate scene
CLOUD_SCORE_PLUS,2025-07-08,No candidate scene
CLOUD_SCORE_PLUS,2025-07-18,No candidate scene
CLOUD_SCORE_PLUS,2025-07-28,No candidate scene
CLOUD_SCORE_PLUS,2025-08-07,No candidate scene
CLOUD_SCORE_PLUS,2025-08-09,No candidate scene
CLOUD_SCORE_PLUS,2025-08-10,No candidate scene
CLOUD_SCORE_PLUS,2025-08-11,Cloud probability data error
CLOUD_SCORE_PLUS,2025-08-12,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-08-17,No candidate scene
CLOUD_SCORE_PLUS,2025-08-24,No candidate scene
CLOUD_SCORE_PLUS,2025-08-26,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-08-27,No candidate scene
CLOUD_SCORE_PLUS,2025-09-04,Cloud probability data error
CLOUD_SCORE_PLUS,2025-09-06,No candidate scene
CLOUD_SCORE_PLUS,2025-09-08,No candidate scene
CLOUD_SCORE_PLUS,2025-09-09,No candidate scene
CLOUD_SCORE_PLUS,2025-09-11,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-09-16,No candidate scene
CLOUD_SCORE_PLUS,2025-09-17,Cloud probability data error
CLOUD_SCORE_PLUS,2025-09-20,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-09-26,No candidate scene
CLOUD_SCORE_PLUS,2025-10-06,No candidate scene
CLOUD_SCORE_PLUS,2025-10-07,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-10-16,No candidate scene
CLOUD_SCORE_PLUS,2025-10-23,Cloud probability data error
CLOUD_SCORE_PLUS,2025-10-26,No candidate scene
CLOUD_SCORE_PLUS,2025-11-04,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-11-05,No candidate scene
CLOUD_SCORE_PLUS,2025-11-06,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-11-10,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-11-12,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-11-13,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-11-15,No candidate scene
CLOUD_SCORE_PLUS,2025-11-17,Tile upload incomplete
CLOUD_SCORE_PLUS,2025-11-22,Cloud probability data error
CLOUD_SCORE_PLUS,2025-11-23,Cloud probability data error
CLOUD_SCORE_PLUS,2025-11-25,No candidate scene
